Afghanistan,1908.00,2011.00,2318.00,2386.00,2516.00,2535.00,2401.00,2516.00,2450.00,2543.00,2459.00,1991.00,1991.00,1991.00,1991.00,1991.00,1991.00,1991.00,1991.00
Albania,9726.00,10208.00,10526.00,10571.00,11259.00,11662.00,12078.00,13040.00,13897.00,14451.00,14171.00,16154.00,18164.00,19566.00,20739.00,21953.00,23230.00,24564.00,25985.00
Algeria,13097.00,13480.00,13264.00,13003.00,12940.00,11945.00,11543.00,11459.00,11636.00,11730.00,11167.00,11869.00,12900.00,13682.00,14228.00,14684.00,15060.00,15415.00,15787.00
Andorra,50888.00,52326.00,51193.00,50930.00,52686.00,52748.00,55695.00,56352.00,57560.00,58720.00,52514.00,58284.00,66155.00,68232.00,69042.00,69692.00,70295.00,70826.00,71378.00
Angola,6586.00,6700.00,7389.00,7644.00,8123.00,7274.00,7027.00,7210.00,7038.00,6877.00,6362.00,6518.00,6944.00,7077.00,7257.00,7430.00,7608.00,7788.00,7981.00
Antigua and Barbuda,21444.00,21224.00,20414.00,19532.00,19714.00,19498.00,20431.00,20231.00,21798.00,22807.00,18780.00,20607.00,23575.00,25449.00,27062.00,28379.00,29369.00,30358.00,31391.00
Argentina,18064.00,19322.00,19641.00,20132.00,19684.00,20105.00,20308.00,23597.00,23294.00,23008.00,20793.00,23817.00,26484.00,26506.00,27576.00,28759.00,29897.00,30972.00,32014.00
Armenia,7282.00,7778.00,9094.00,9564.00,9792.00,9753.00,10502.00,11974.00,12948.00,14216.00,13377.00,14770.00,17795.00,19745.00,21200.00,22599.00,24072.00,25613.00,27260.00
Aruba,33725.00,35324.00,34121.00,35954.00,35736.00,36078.00,36250.00,37690.00,39453.00,39130.00,30305.00,40751.00,48341.00,51352.00,53196.00,54988.00,56759.00,58539.00,60410.00
Australia,41763.00,43130.00,42908.00,46524.00,46994.00,46342.00,48043.00,49650.00,51470.00,52630.00,52116.00,56979.00,62026.00,64674.00,66098.00,67915.00,69909.00,71959.00,74091.00
Austria,42466.00,44469.00,46478.00,47937.00,48814.00,49955.00,52660.00,54394.00,56603.00,58663.00,55329.00,59917.00,66889.00,69069.00,70821.00,73101.00,75587.00,77895.00,79909.00
Azerbaijan,14771.00,14905.00,16063.00,17300.00,17551.00,15026.00,14448.00,14185.00,14608.00,15112.00,14541.00,15965.00,17800.00,18694.00,19370.00,20017.00,20670.00,21326.00,22009.00
Bahamas,31048.00,31568.00,32664.00,31775.00,33238.00,33724.00,34047.00,36023.00,37572.00,37565.00,28805.00,34769.00,42023.00,44950.00,46299.00,47473.00,48675.00,49808.00,50996.00
Bahrain,47117.00,50673.00,54489.00,54035.00,51938.00,45627.00,44834.00,47486.00,49589.00,52244.00,50863.00,53359.00,58426.00,60715.00,62751.00,64425.00,65775.00,67114.00,68494.00
Bangladesh,3144.00,3378.00,3759.00,3993.00,4293.00,4564.00,4887.00,5227.00,5699.00,6062.00,6397.00,7070.00,7971.00,8673.00,9414.00,10189.00,11006.00,11869.00,12801.00
Barbados,16278.00,16444.00,15425.00,15433.00,15252.00,15603.00,16006.00,15829.00,16074.00,16236.00,14222.00,14795.00,17339.00,18738.00,19860.00,20775.00,21610.00,22388.00,23200.00
Belarus,15355.00,16545.00,18097.00,18997.00,19017.00,18111.00,17787.00,18335.00,19410.00,20084.00,20250.00,21780.00,22679.00,24017.00,25012.00,25798.00,26603.00,27463.00,28294.00
Belgium,40162.00,41082.00,42409.00,43755.00,45043.00,46365.00,48680.00,50727.00,52660.00,54545.00,51989.00,57578.00,63268.00,65813.00,67650.00,69652.00,71605.00,73580.00,75679.00
Belize,9615.00,9519.00,9015.00,9180.00,9078.00,9104.00,8903.00,8573.00,8698.00,8967.00,7625.00,8993.00,10564.00,11166.00,11529.00,11822.00,12114.00,12400.00,12695.00
Benin,2303.00,2350.00,2427.00,2591.00,2746.00,2793.00,2901.00,2934.00,3113.00,3290.00,3365.00,3661.00,4048.00,4305.00,4552.00,4786.00,5031.00,5281.00,5545.00
Bhutan,6268.00,6943.00,7600.00,7894.00,8382.00,9239.00,10068.00,10852.00,11478.00,12150.00,11903.00,11907.00,13219.00,14297.00,14920.00,15765.00,16797.00,17460.00,18252.00
Bolivia,5177.00,5473.00,5937.00,6645.00,7081.00,7160.00,7528.00,8456.00,8897.00,9129.00,8324.00,9096.00,9936.00,10340.00,10625.00,10924.00,11214.00,11511.00,11818.00
Bosnia and Herzegovina,9566.00,9971.00,10292.00,11038.00,11268.00,11850.00,12758.00,13420.00,14302.00,15000.00,14754.00,16585.00,18518.00,19634.00,20734.00,21850.00,23002.00,24195.00,25457.00
Botswana,12395.00,13249.00,12323.00,13103.00,14339.00,13421.00,15277.00,14657.00,15322.00,15759.00,14304.00,16449.00,18323.00,19394.00,20312.00,21281.00,22222.00,23180.00,24211.00
Brazil,14673.00,15491.00,15556.00,16169.00,16352.00,15380.00,14915.00,15243.00,15806.00,16206.00,15806.00,17250.00,18897.00,20079.00,20729.00,21435.00,22145.00,22885.00,23655.00
Brunei,80669.00,84001.00,88312.00,84019.00,81806.00,62922.00,56638.00,60720.00,60759.00,62190.00,65043.00,67048.00,70576.00,72610.00,76864.00,80633.00,84633.00,88859.00,93153.00
Bulgaria,14794.00,15792.00,16376.00,16692.00,17670.00,18459.00,20146.00,21617.00,22893.00,24414.00,23874.00,27156.00,31857.00,33780.00,35853.00,37900.00,40011.00,42153.00,44420.00
Burkina Faso,1455.00,1537.00,1568.00,1629.00,1638.00,1658.00,1832.00,1988.00,2111.00,2211.00,2221.00,2413.00,2549.00,2683.00,2841.00,2987.00,3129.00,3262.00,3402.00
Burundi,656.00,675.00,685.00,735.00,772.00,838.00,794.00,771.00,779.00,784.00,773.00,809.00,856.00,890.00,936.00,983.00,1028.00,1077.00,1123.00
Cape Verde,6127.00,6427.00,6282.00,6249.00,6213.00,6468.00,6923.00,7373.00,7868.00,8465.00,6813.00,7487.00,9263.00,9909.00,10463.00,11033.00,11625.00,12249.00,12909.00
Cambodia,2438.00,2636.00,2912.00,3110.00,3272.00,3501.00,3817.00,4101.00,4468.00,4835.00,4723.00,5034.00,5613.00,6087.00,6541.00,7029.00,7557.00,8094.00,8678.00
Cameroon,2814.00,2892.00,2959.00,3130.00,3313.00,3396.00,3527.00,3665.00,3804.00,3902.00,3874.00,4091.00,4431.00,4661.00,4846.00,5039.00,5239.00,5446.00,5666.00
Canada,40018.00,41716.00,42351.00,44360.00,45812.00,44703.00,46554.00,48688.00,50539.00,51668.00,49113.00,53570.00,58316.00,59813.00,61318.00,63218.00,64782.00,66268.00,67829.00
Central African Republic,967.00,1013.00,1102.00,738.00,720.00,787.00,851.00,913.00,956.00,985.00,990.00,1025.00,1081.00,1109.00,1138.00,1180.00,1222.00,1263.00,1301.00
Chad,1821.00,1800.00,1736.00,1574.00,1684.00,1820.00,1682.00,1600.00,1627.00,1663.00,1600.00,1604.00,1724.00,1807.00,1863.00,1903.00,1942.00,1981.00,2023.00
Chile,18870.00,20236.00,21459.00,22296.00,22651.00,22553.00,22659.00,23671.00,24761.00,24920.00,23266.00,26861.00,29221.00,29935.00,30911.00,32064.00,33269.00,34510.00,35821.00
China,9160.00,10181.00,11137.00,11905.00,12496.00,12926.00,13432.00,14152.00,15412.00,16567.00,17135.00,19411.00,21404.00,23309.00,24839.00,26401.00,28035.00,29626.00,31237.00
Colombia,11009.00,11893.00,12306.00,13025.00,13627.00,13611.00,14352.00,14764.00,15237.00,15636.00,14406.00,16490.00,18720.00,19482.00,20111.00,20909.00,21817.00,22738.00,23705.00
Comoros,2261.00,2341.00,2510.00,2628.00,2701.00,2684.00,2826.00,2980.00,3079.00,3105.00,3058.00,3177.00,3363.00,3464.00,3535.00,3614.00,3703.00,3795.00,3883.00
Democratic Republic of the Congo,630.00,670.00,674.00,791.00,894.00,946.00,989.00,1087.00,1130.00,1164.00,1161.00,1248.00,1409.00,1510.00,1565.00,1629.00,1693.00,1764.00,1831.00
Republic of the Congo,6252.00,6364.00,7437.00,7123.00,6959.00,5445.00,4824.00,5310.00,5183.00,5205.00,4822.00,4967.00,5276.00,5552.00,5785.00,5945.00,6135.00,6333.00,6543.00
Costa Rica,12932.00,13606.00,14368.00,15035.00,16077.00,17080.00,18503.00,19712.00,20483.00,21131.00,20280.00,22612.00,25000.00,26809.00,28025.00,29225.00,30455.00,31703.00,33010.00
Ivory Coast,3489.00,3303.00,3563.00,3834.00,4237.00,4558.00,4672.00,4814.00,5038.00,5324.00,5348.00,5828.00,6486.00,6960.00,7395.00,7824.00,8263.00,8701.00,9156.00
Croatia,20614.00,21092.00,21461.00,22134.00,22363.00,23341.00,25260.00,27183.00,28875.00,30570.00,28446.00,35078.00,40128.00,42873.00,45087.00,47191.00,49353.00,51508.00,53770.00
Cyprus,33853.00,33849.00,31996.00,30313.00,29978.00,31955.00,36012.00,38643.00,41349.00,43829.00,41884.00,46249.00,51774.00,53931.00,56600.00,58953.00,61421.00,63902.00,66485.00
Czech Republic,28010.00,29027.00,29270.00,30813.00,32542.00,33933.00,36051.00,38916.00,40982.00,42803.00,40946.00,45085.00,47955.00,49025.00,50889.00,53592.00,56301.00,58932.00,61750.00
Denmark,43204.00,44483.00,44893.00,46829.00,48040.00,49265.00,52160.00,55673.00,57821.00,59480.00,58628.00,65261.00,71332.00,74958.00,77480.00,79721.00,82034.00,84323.00,86683.00
Djibouti,3592.00,3872.00,3961.00,4107.00,4301.00,4563.00,4695.00,4905.00,5181.00,5483.00,5545.00,5971.00,6502.00,6985.00,7475.00,7945.00,8403.00,8881.00,9392.00
Dominica,10038.00,10336.00,10158.00,10344.00,11015.00,11140.00,11962.00,11666.00,12363.00,12777.00,10627.00,11811.00,13293.00,14348.00,15271.00,16157.00,16857.00,17537.00,18246.00
Dominican Republic,11672.00,12158.00,12208.00,12818.00,13859.00,15186.00,16626.00,17301.00,18775.00,19899.00,18642.00,21681.00,24117.00,25523.00,27231.00,28936.00,30715.00,32561.00,34532.00
Ecuador,9091.00,9843.00,10280.00,11106.00,11658.00,11015.00,11009.00,11624.00,11882.00,11925.00,10986.00,11800.00,12818.00,13285.00,13642.00,13997.00,14375.00,14842.00,15325.00
Egypt,10531.00,10694.00,12275.00,12344.00,11948.00,12607.00,12279.00,11756.00,12432.00,13221.00,13527.00,14380.00,16174.00,17123.00,17786.00,18686.00,19685.00,20799.00,22010.00
El Salvador,6199.00,6543.00,6623.00,6967.00,7333.00,7712.00,8174.00,8618.00,9025.00,9407.00,8761.00,10143.00,11097.00,11717.00,12172.00,12627.00,13084.00,13542.00,14019.00
Equatorial Guinea,32711.00,34024.00,37303.00,34531.00,33483.00,23903.00,20353.00,22450.00,20798.00,19330.00,18033.00,18176.00,19465.00,18363.00,17237.00,16398.00,15604.00,15201.00,14979.00
Eritrea,1284.00,1625.00,1669.00,1507.00,1992.00,1589.00,1701.00,1537.00,1759.00,1836.00,1836.00,1836.00,1836.00,1836.00,1836.00,1836.00,1836.00,1836.00,1836.00
Estonia,22360.00,24557.00,25996.00,27465.00,28928.00,29184.00,31310.00,33903.00,35907.00,37884.00,37933.00,42465.00,44630.00,45236.00,47383.00,49667.00,52148.00,54740.00,57423.00
Eswatini,7951.00,8239.00,8450.00,8901.00,8997.00,9024.00,8932.00,8651.00,8980.00,9296.00,9172.00,10230.00,11217.00,11859.00,12392.00,12895.00,13378.00,13854.00,14350.00
Ethiopia,1141.00,1268.00,1361.00,1444.00,1707.00,1876.00,2134.00,2303.00,2484.00,2698.00,2838.00,3083.00,3435.00,3719.00,3975.00,4249.00,4548.00,4866.00,5217.00
Fiji,8679.00,9056.00,9660.00,10379.00,11358.00,12401.00,12563.00,13317.00,14079.00,14169.00,11843.00,11706.00,14950.00,16564.00,17505.00,18413.00,19314.00,20240.00,21176.00
Finland,39357.00,41016.00,40969.00,41587.00,41836.00,42570.00,44995.00,47622.00,49234.00,50687.00,50072.00,53897.00,58445.00,59869.00,61600.00,63598.00,65798.00,68081.00,70517.00
France,37352.00,38790.00,39037.00,40952.00,41576.00,42289.00,44422.00,46370.00,48195.00,49792.00,46444.00,51479.00,56305.00,58765.00,60735.00,62905.00,65014.00,67024.00,69054.00
Gabon,14967.00,15763.00,15487.00,15235.00,15500.00,14834.00,14490.00,15303.00,15598.00,16266.00,15970.00,16718.00,18206.00,19165.00,19866.00,20538.00,21291.00,22039.00,22837.00
Gambia,2435.00,2216.00,2200.00,2121.00,2027.00,2067.00,2069.00,2073.00,2210.00,2320.00,2295.00,2450.00,2670.00,2837.00,2992.00,3135.00,3258.00,3383.00,3513.00
Georgia,7542.00,8322.00,9799.00,10610.00,11583.00,12100.00,12855.00,13596.00,14584.00,15611.00,14772.00,16997.00,20243.00,22357.00,24036.00,25886.00,27862.00,29960.00,32094.00
Germany,40101.00,42541.00,43359.00,44994.00,47011.00,47622.00,50574.00,53374.00,55029.00,56488.00,54989.00,59255.00,64086.00,66038.00,68129.00,70894.00,73667.00,76032.00,78211.00
Ghana,4071.00,4623.00,5152.00,5321.00,5595.00,5233.00,5021.00,5148.00,5482.00,5823.00,5811.00,6256.00,6752.00,6905.00,7071.00,7357.00,7674.00,8001.00,8343.00
Greece,27954.00,25629.00,24818.00,25896.00,26541.00,26676.00,27489.00,28518.00,29766.00,30918.00,28518.00,32433.00,37526.00,39864.00,41593.00,43054.00,44575.00,46007.00,47460.00
Grenada,10865.00,11117.00,11164.00,11887.00,13042.00,14152.00,15026.00,16218.00,17242.00,17583.00,15292.00,16640.00,18843.00,20195.00,21337.00,22427.00,23490.00,24460.00,25477.00
Guatemala,6529.00,6794.00,7018.00,7183.00,7458.00,7849.00,7847.00,7915.00,8220.00,8538.00,8336.00,9223.00,10076.00,10595.00,10998.00,11400.00,11820.00,12252.00,12715.00
Guinea,1550.00,1628.00,1615.00,1680.00,1671.00,1685.00,1928.00,2250.00,2390.00,2507.00,2595.00,2778.00,3025.00,3241.00,3415.00,3590.00,3764.00,3940.00,4120.00
Guinea-Bissau,1469.00,1586.00,1513.00,1530.00,1576.00,1874.00,1976.00,2253.00,2343.00,2439.00,2453.00,2669.00,2911.00,3088.00,3247.00,3407.00,3574.00,3745.00,3907.00
Guyana,8357.00,8958.00,10444.00,10998.00,10943.00,11205.00,11268.00,11965.00,12725.00,13606.00,19717.00,24662.00,42699.00,61099.00,78841.00,95245.00,117304.00,144299.00,166290.00
Haiti,2619.00,2765.00,2719.00,2902.00,2911.00,2841.00,3018.00,3080.00,3160.00,3117.00,3009.00,3045.00,3161.00,3186.00,3260.00,3331.00,3401.00,3468.00,3538.00
Honduras,3779.00,3928.00,4033.00,4142.00,4453.00,4823.00,5146.00,5558.00,5808.00,5965.00,5406.00,6247.00,6832.00,7163.00,7429.00,7707.00,8010.00,8323.00,8649.00
Hong Kong,48996.00,51999.00,52082.00,53454.00,54605.00,56267.00,56903.00,59668.00,62230.00,62015.00,59454.00,66352.00,67880.00,72861.00,76154.00,79461.00,82718.00,85885.00,89069.00
Hungary,22054.00,22997.00,23240.00,24509.00,25664.00,26771.00,27894.00,29833.00,32254.00,34447.00,33326.00,37479.00,42121.00,43601.00,46037.00,48565.00,51225.00,53969.00,56870.00
Iceland,39548.00,41009.00,42154.00,44673.00,46239.00,49471.00,53943.00,56945.00,59392.00,60109.00,55391.00,59724.00,67176.00,69833.00,72492.00,75380.00,77862.00,80277.00,82878.00
India,4160.00,4467.00,4828.00,5017.00,5187.00,5412.00,5778.00,6112.00,6591.00,6898.00,6518.00,7368.00,8398.00,9183.00,9892.00,10635.00,11426.00,12271.00,13173.00
Indonesia,8657.00,9213.00,9834.00,10188.00,10399.00,10359.00,10619.00,11074.00,11800.00,12484.00,12235.00,13159.00,14687.00,15836.00,16843.00,17876.00,18962.00,20096.00,21310.00
Iran,18649.00,19283.00,17041.00,16238.00,16106.00,14328.00,15282.00,15806.00,15692.00,15298.00,15831.00,17158.00,18865.00,19942.00,20694.00,21320.00,21949.00,22570.00,23216.00
Iraq,12217.00,13075.00,14843.00,15414.00,14027.00,10494.00,9598.00,10916.00,11402.00,11920.00,10351.00,10708.00,11948.00,11742.00,12048.00,12464.00,12830.00,13149.00,13471.00
Ireland,43756.00,45073.00,46231.00,47728.00,51133.00,69057.00,71164.00,78203.00,85796.00,90779.00,97205.00,115885.00,132359.00,137638.00,143179.00,149045.00,154298.00,159549.00,165002.00
Israel,29469.00,31173.00,32101.00,34409.00,34374.00,35429.00,37718.00,39026.00,40806.00,42294.00,41540.00,46643.00,51990.00,54771.00,56678.00,58663.00,60862.00,63128.00,65525.00
Italy,35416.00,36251.00,36143.00,36289.00,36461.00,37176.00,40231.00,42112.00,43617.00,44704.00,41342.00,46534.00,51827.00,54259.00,56016.00,57919.00,59877.00,61801.00,63723.00
Jamaica,8263.00,8531.00,8586.00,8895.00,9047.00,9347.00,9818.00,10287.00,10707.00,10992.00,10019.00,10938.00,12302.00,12995.00,13513.00,14004.00,14487.00,14971.00,15475.00
Japan,35535.00,36215.00,37629.00,39437.00,39604.00,40959.00,40641.00,41409.00,42762.00,43448.00,42273.00,45279.00,49090.00,52120.00,54103.00,55827.00,57483.00,59095.00,60776.00
