1. ROOT AND TUBER VEGETABLES	"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; beet, garden; beet, sugar; burdock, edible; canna, edible; carrot; cassava, bitter and sweet; celeriac (celery root); chayote (root); chervil, turnip-rooted; chicory; chufa; dasheen (taro); ginger; ginseng; horseradish; leren; parsley, turnip-rooted; parsnip; potato; radish; radish, oriental (daikon); rutabaga; salsify (oyster plant); salsify, black; salsify, Spanish; skirret; sweet potato; tanier (cocoyam); turmeric; turnip; yam bean; yam, true"
1A. Root vegetables subgroup	"Beet, garden; beet, sugar; burdock, edible; carrot; celeriac; chervil, turnip-rooted; chicory; ginseng; horseradish; parsley, turnip-rooted; parsnip; radish; radish, oriental; rutabaga; salsify; salsify, black; salsify, Spanish; skirret; turnip"
1B. Root vegetables (except sugar beet) subgroup	"Beet, garden; burdock, edible; carrot; celeriac; chervil, turnip-rooted; chicory; ginseng; horseradish; parsley, turnip-rooted; parsnip; radish; radish, oriental; rutabaga; salsify; salsify, black; salsify, Spanish; skirret; turnip"
1C. Tuberous and corm vegetables subgroup	"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; canna, edible; cassava, bitter and sweet; chayote (root); chufa; dasheen; ginger; leren; potato; sweet potato; tanier; turmeric; yam bean; yam, true"
1D. Tuberous and corm vegetables (except potato) subgroup	"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; canna, edible; cassava, bitter and sweet; chayote (root); chufa; dasheen; ginger; leren; sweet potato; tanier; turmeric; yam bean; yam, true"
2. LEAVES OF ROOT AND TUBER VEGETABLES (HUMAN FOOD OR ANIMAL FEED) GROUP	"Beet, garden; beet, sugar; burdock, edible; carrot; cassava, bitter and sweet; celeriac (celery root); chervil, turnip-rooted; chicory; dasheen (taro); parsnip; radish; radish, oriental (daikon); rutabaga; salsify, black; sweet potato; tanier (cocoyam); turnip; yam, true"
3-07. BULB VEGETABLE GROUP	"Chive, fresh leaves; chive, Chinese, fresh leaves; daylily, bulb; elegans hosta; fritillaria, bulb; fritillaria, leaves; garlic, bulb; garlic, great-headed, bulb; garlic, serpent, bulb; kurrat; lady�s leek; leek; leek, wild; lily, bulb; onion, Beltsville bunching; onion, bulb; onion, Chinese, bulb; onion, fresh; onion, green; onion, macrostem; onion, pearl; onion, potato, bulb; onion, tree, tops; onion, Welsh, tops; shallot, bulb; shallot, fresh leaves; cultivars, varieties, and/or hybrids of these"
"3-07A. Onion, bulb, subgroup"	"Daylily, bulb; fritillaria, bulb; garlic, bulb; garlic, great-headed, bulb; garlic, serpent, bulb; lily, bulb; onion, bulb; onion, Chinese, bulb; onion, pearl; onion, potato, bulb; shallot, bulb; cultivars, varieties, and/or hybrids of these."
"3-07 B. Onion, green, subgroup"	"Chive, fresh leaves; chive, Chinese, fresh leaves; elegans hosta; fritillaria, leaves; kurrat; lady�s leek; leek; leek, wild; onion, Beltsville bunching; onion, fresh; onion, green; onion, macrostem; onion, tree, tops; onion, Welsh, tops; shallot, fresh leaves; cultivars, varieties, and/or hybrids of these."
3. BULB VEGETABLE GROUP	"Garlic, bulb, garlic, great-headed (elephant); leek; onion, dry bulb and green; onion, Welsh; shallot"
